orbital_period,semi_major_axis,eccentricity,inclination,mass,radius,axial_tilt
88,0.39,0.205,7.0,0.055,0.383,0.034
225,0.72,0.007,3.4,0.815,0.949,177.4
365.25,1,0.017,0,1,1,23.44
687,1.52,0.094,1.85,0.107,0.532,25.19
4333,5.2,0.049,1.3,317.8,11.2,3.13
10759,9.58,0.057,2.49,95.2,9.45,26.73
30685,19.2,0.046,0.77,14.5,4.01,97.77
60190,30.1,0.011,1.77,17.1,3.88,28.32
27.3,0.0026,0.055,5.15,0.0123,0.273,6.68
687,1.52,0.094,1.85,0.107,0.532,25.19
